node,neighbors
143403,"21714981,21718288,143408"
143408,"21718264,932576340"
143412,"8752289484,8752289487"
143413,"21852320,8168938341"
143415,"143435,21852322"
143416,"18232186,18232178"
143417,"18232187,143416"
143418,"25334276,21696193"
143421,"25334263,195279"
143435,21600355
143439,"15925442,195246"
195222,"249717499,26480401,1468553185"
195228,"26336566,958040717"
195231,"24485888,829528479"
195232,"829528479,1037257423"
195234,"26058153,26108120"
195235,"21674905,26731434"
195236,"26059219,25451937"
195237,"25499212,25451960"
195239,"25499150,25153100"
195241,"412286091,26058917,4295013306"
195242,"4295013306,412286091"
195244,"11591631532,4295013309,2139361023"
195246,"1148982742,3404990017"
195249,"1036842225,967133152"
195250,"25306024,25337454"
195251,"24009841,25337457"
195252,"25337467,25337465"
195256,"1468747927,8784931018,25622515"
195259,"1036842157,479185301,10055724114"
195261,"25336179,2383442941,4428355731,10055724114"
195262,"8866055432,3393859920,25321302"
195266,"195268,25321302"
195268,"25451370,195270,195266"
195270,"25336178,522100855"
195271,25335981
195274,"1703401805,195275"
195275,"2959901670,21992964"
195276,"25321304,474605986"
195277,"21992964,2959901670"
195279,"21696192,25451455"
195282,26058651
581678,"26059183,195237"
7300862,"1519682890,293585811"
7300867,21704353
7393914,"8698701,7393915,7394477"
7393915,"7393914,12037042658,7394428"
7394428,"7393915,7394439"
7394439,"7394428,7394456,7395099"
7394456,"7394428,7394439,7394477"
7394477,"2134907238,7394456"
7394819,"6119410093,1554840498"
7394820,"9257232,9259681,1866856610"
7394824,"7394820,1866826428"
7394832,"8206700,7395099"
7394910,"9257214,33149220,7394925"
7394925,"8207506,9257214,9213756,7394910"
7395099,"8209633,7394439"
7469500,"26480367,1042749232"
7469501,"25614299,7274778339"
7470129,"26480377,1510257225"
7470130,6919580833
8089058,"8684321,1547919207"
8089059,"11908115400,1547919290,1577020307"
8206700,"11880778545,1374638719"
8207493,"3302602287,361643451,8207506"
8207506,"7394925,9257184,8207493"
8209560,"8209633,36163534,1554840498"
8209633,"7395099,8209560,1547919290"
8358135,"6919580835,26009837"
8433662,"8593279,8433808,8433684"
8433684,"9259186,2462509544,8433662"
8433808,"8433662,504557626"
8433940,25115182
8434031,"8434042,33118776,26314979"
8434042,"25470101,33122282"
8592437,"24289066,492150252,33116037"
8593279,"8433662,24289061,8877429"
8593425,"8877429,8876507"
8684321,8089058
8698701,"7393914,12809290199"
8876507,"8876576,8593425"
8876576,"8876507,8876586"
8876586,"6360409719,8876576"
8876604,"6360409714,6360409719"
8877429,"6360409714,8593425,8593279"
9213739,4741814127
9213756,"1382687432,7394925,33149204"
9214618,"25451862,21674907"
9214708,"600734173,3160860324"
9214909,"9214919,9214911"
9214911,"9214915,18232179,8792993463"
9214915,"18232182,9214911,9516750676"
9214919,"21850766,143415"
9249417,8592437
9249808,"24289146,9249417"
9249817,"9250428,24289158"
9250428,"9250674,265783501"
9250674,"7275092726,1126334635"
9257184,"9257186,9257226"
9257186,"3302602286,9257232"
9257214,"7394925,9257226"
9257226,"9257214,9257232"
9257232,"9257186,9257226,7394820"
9259186,"9259681,8433684"
9259681,"7394820,8593425"
13383951,"26340341,33252315"
13383978,"35193764,958117926"
13445139,25719221
15925416,"601393122,601393134"
15925438,"2600858778,18697400"
15925440,"21712143,25152444"
15925442,"10087719688,143439"
15925446,"25306034,975232215"
15925447,"1856728232,12505754910"
15925451,"25499219,8784789884"
15925452,"5006393114,25451866"
16050062,"25719223,21674798"
16564346,"16564347,33257059"
16564347,"16564349,16564350"
16564349,"220311331,16564350"
16564350,"220288678,16564353"
16564353,16564346
16564357,"25312123,25312129"
16564364,"16564365,34819715"
16564365,"34820019,34819704,8791385058"
16566895,"16566904,16566897"
16566897,"4528925726,23666834"
16566904,3807653478
16566907,"27503215,16566908"
16566908,"35193761,220288730"
16566910,"25454179,16566895"
18232178,"21600350,8792993463,143415"
18232179,"143416,21696191"
18232180,"9214915,18232179"
18232182,"18232184,18232180"
18232183,"21696191,21702433"
18232184,18232182
18232186,"18697395,18232187"
18232187,"34235998,18697389"
18697376,"18697402,2924143717"
18697378,18697402
18697383,"8883130215,21992981,18697402"
